
> debate-me@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.68.57:3000
- Environments: .env
✓ Ready in 240ms

 PUT /api/inngest 404 in 16ms (next.js: 1322µs, application-code: 14ms)
 PUT /api/inngest 404 in 15ms (next.js: 1105µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1040µs, application-code: 14ms)
 PUT /api/inngest 404 in 15ms (next.js: 1057µs, application-code: 14ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 16ms (next.js: 1119µs, application-code: 15ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 15ms (next.js: 1478µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1063µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1064µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1143µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1351µs, application-code: 14ms)
 PUT /api/inngest 404 in 14ms (next.js: 1151µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 933µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1548µs, application-code: 12ms)
 PUT /api/inngest 404 in 17ms (next.js: 1101µs, application-code: 16ms)
 PUT /api/inngest 404 in 19ms (next.js: 1184µs, application-code: 18ms)
 PUT /api/inngest 404 in 14ms (next.js: 1003µs, application-code: 13ms)
 PUT /api/inngest 404 in 16ms (next.js: 1132µs, application-code: 15ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1402µs, application-code: 12ms)
 PUT /api/inngest 404 in 16ms (next.js: 1163µs, application-code: 15ms)
 PUT /api/inngest 404 in 14ms (next.js: 946µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1104µs, application-code: 14ms)
 PUT /api/inngest 404 in 18ms (next.js: 1593µs, application-code: 17ms)
 PUT /api/inngest 404 in 14ms (next.js: 1069µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 976µs, application-code: 13ms)
 PUT /api/inngest 404 in 17ms (next.js: 1092µs, application-code: 16ms)
 PUT /api/inngest 404 in 13ms (next.js: 1183µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 986µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1176µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 13ms (next.js: 1053µs, application-code: 12ms)
